S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
34,"Heading 9996 (Recreational, cultural and sporting services)","(vi) Recreational, cultural and sporting services other than (i), (ii), (iia), (iii), (iiia), (iv) and (v) above.",9,9,18,-
35,Heading 9997,"Other services (washing, cleaning and dyeing services; beauty and physical well-being services; and other miscellaneous services including services nowhere else classified).",9,9,18,-
36,Heading 9998,Domestic services.,9,9,18,-
37,Heading 9999,Services provided by extra territorial organisations and bodies.,9,9,18,-
38,Heading 9954 or 9983 or 9987,"Service by way of construction or engineering or installation or other technical services, provided in relation of setting up of (a) Bio-gas plant (b) Solar power based devices (c) Solar power generating system (d) Wind mills, Wind Operated Electricity Generator (WOEG) (e) Waste to energy plants/devices (f) Ocean waves/tidal waves energy devices/plants.",9,9,18,-
,Chapter 99,"Supply of services other than services by way of grant of development rights, long term lease of land (against upfront payment in the form of premium, salami, development charges etc.) or FSI (including additional FSI) by an unregistered person to a promoter for construction of a project on which tax is payable by the recipient of the services under sub-section 4 of section 5 of the IGST Act, 2017.",9,9,18,-
,Chapter 99,"Services by an entity registered under section 12AA or 12AB of the Income-tax Act, 1961 by way of charitable activities.",Nil,Nil,Nil,
,Chapter 99,"Services by way of transfer of a going concern, as a whole or an independent part thereof.",Nil,Nil,Nil,
,Chapter 99,"Pure services (excluding works contract service or other composite supplies involving supply of any goods) provided to the Central Government, State Government or Union territory or local authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G or Municipality under article 243W of the Constitution.",Nil,Nil,Nil,
,Chapter 99,"Composite supply of goods and services in which the value of supply of goods constitutes not more than 25 per cent of the value of the said composite supply provided to the Central Government, State Government or Union territory or local authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G or Municipality under article 243W of the Constitution.",Nil,Nil,Nil,
,Chapter 99,Services by governmental authority by way of any activity in relation to any function entrusted to a municipality under article 243W of the Constitution.,Nil,Nil,Nil,
,Chapter 99,Services by a Governmental Authority by way of any activity in relation to any function entrusted to a Panchayat under article 243G of the Constitution.,Nil,Nil,Nil,
,Chapter 99,"Services by the Central Government, State Government, Union territory or local authority excluding services by Department of Posts, in relation to an aircraft or vessel, transport of goods or passengers, or any service provided to business entities.",Nil,Nil,Nil,
,Chapter 99,"Services provided by the Central Government, State Government, Union territory or local authority to a business entity with an aggregate turnover up to the exemption threshold for registration under CGST Act, 2017, excluding services by Department of Posts, in relation to an aircraft or vessel, transport of goods or passengers, and services by way of renting of immovable property.",Nil,Nil,Nil,
,Chapter 99,"Services provided by the Central Government, State Government, Union territory or local authority to another Central Government, State Government, Union territory or local authority, excluding services by Department of Posts, in relation to an aircraft or a vessel, and transport of goods or passengers.",Nil,Nil,Nil,
,Chapter 99,"Services provided by Central Government, State Government, Union territory or a local authority where the consideration for such services does not exceed five thousand rupees, excluding services by Department of Posts, in relation to an aircraft or vessel, and transport of goods or passengers.",Nil,Nil,Nil,
,Chapter 99,"Services received from a provider of service located in a non-taxable territory by the Central Government, State Government, Union territory, local authority, governmental authority, or an individual for any purpose other than commerce, industry or any other business or profession; or by an entity registered under section 12AA of the Income-tax Act for charitable activities.",Nil,Nil,Nil,
,Chapter 99,Services provided by and to FIFA and its subsidiaries directly or indirectly related to any of the events under FIFA U-17 World Cup 2017 to be hosted in India.,Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under FIFA U-17 World Cup 2017."
,Chapter 99,Services provided by and to FIFA and its subsidiaries directly or indirectly related to any of the events under FIFA U-17 Women's World Cup 2020 to be hosted in India [whenever rescheduled].,Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under FIFA U-17 Women's World Cup 2020."
,Chapter 99,Services provided by and to Asian Football Confederation (AFC) and its subsidiaries directly or indirectly related to any of the events under AFC Women's Asia Cup 2022 to be hosted in India.,Nil,Nil,Nil,"Provided that Director (Sports), Ministry of Youth Affairs and Sports certifies that the services are directly or indirectly related to any of the events under AFC Women's Asia Cup 2022."
,Chapter 99,Supply of services associated with transit cargo to Nepal and Bhutan (landlocked countries).,Nil,Nil,Nil,
,Chapter 99,"Supply of service by a Government Entity to Central Government, State Government, Union territory, local authority or any person specified by Central Government, State Government, Union territory or local authority against consideration received from Central Government, State Government, Union territory or local authority, in the form of grants.",Nil,Nil,Nil,
,Chapter 99,"Services by an old age home run by Central Government, State Government or by an entity registered under section 12AA or 12AB of the Income-tax Act, 1961 to its residents (aged 60 years or more) against consideration upto twenty-five thousand rupees per month per member provided that the consideration charged is inclusive of charges for boarding, lodging and maintenance.",Nil,Nil,Nil,
